"id","duration","question","value","order","prolificId","studyId","sessionId"
"160","6223","Animals are afraid of a big fire","92","{""Animals are afraid of a big fire"",""Animals can make a fire"",""Animals like to look at fire"",""Humans like to cook on a fire"",""Humans feel that a small or medium fire is pretty"",""Animals feel that a small or medium fire is pretty"",""Humans like to look at fire"",""Animals like to cook on a fire"",""Humans are afraid of a big fire"",""Humans can make a fire"",""Humans like the warmth of a medium fire"",""Animals like the warmth of a medium fire""}","6279257a38f2de2668ac6309","685db2f97826087f0608405e","690e189a69621e61c835fa72"
"161","3797","Animals can make a fire","5","{""Animals are afraid of a big fire"",""Animals can make a fire"",""Animals like to look at fire"",""Humans like to cook on a fire"",""Humans feel that a small or medium fire is pretty"",""Animals feel that a small or medium fire is pretty"",""Humans like to look at fire"",""Animals like to cook on a fire"",""Humans are afraid of a big fire"",""Humans can make a fire"",""Humans like the warmth of a medium fire"",""Animals like the warmth of a medium fire""}","6279257a38f2de2668ac6309","685db2f97826087f0608405e","690e189a69621e61c835fa72"
"162","3144","Animals like to look at fire","14","{""Animals are afraid of a big fire"",""Animals can make a fire"",""Animals like to look at fire"",""Humans like to cook on a fire"",""Humans feel that a small or medium fire is pretty"",""Animals feel that a small or medium fire is pretty"",""Humans like to look at fire"",""Animals like to cook on a fire"",""Humans are afraid of a big fire"",""Humans can make a fire"",""Humans like the warmth of a medium fire"",""Animals like the warmth of a medium fire""}","6279257a38f2de2668ac6309","685db2f97826087f0608405e","690e189a69621e61c835fa72"
"163","7686","Animals are afraid of a big fire","100","{""Animals are afraid of a big fire"",""Animals like to look at fire"",""Humans like to cook on a fire"",""Animals like to cook on a fire"",""Humans can make a fire"",""Humans are afraid of a big fire"",""Humans feel that a small or medium fire is pretty"",""Animals can make a fire"",""Animals feel that a small or medium fire is pretty"",""Humans like the warmth of a medium fire"",""Animals like the warmth of a medium fire"",""Humans like to look at fire""}","62682277645054f5802459b8","685db2f97826087f0608405e","690e1895bc85482d63d7fb3f"
"164","6319","Animals like to cook on a fire","0","{""Animals like to cook on a fire"",""Humans are afraid of a big fire"",""Animals feel that a small or medium fire is pretty"",""Humans like to cook on a fire"",""Humans can make a fire"",""Animals like to look at fire"",""Animals can make a fire"",""Animals are afraid of a big fire"",""Animals like the warmth of a medium fire"",""Humans like to look at fire"",""Humans like the warmth of a medium fire"",""Humans feel that a small or medium fire is pretty""}","63ea4a7fa7d709c8e7887a93","685db2f97826087f0608405e","690e18a0746fce0498519559"
"165","2873","Humans like to cook on a fire","1","{""Animals are afraid of a big fire"",""Animals can make a fire"",""Animals like to look at fire"",""Humans like to cook on a fire"",""Humans feel that a small or medium fire is pretty"",""Animals feel that a small or medium fire is pretty"",""Humans like to look at fire"",""Animals like to cook on a fire"",""Humans are afraid of a big fire"",""Humans can make a fire"",""Humans like the warmth of a medium fire"",""Animals like the warmth of a medium fire""}","6279257a38f2de2668ac6309","685db2f97826087f0608405e","690e189a69621e61c835fa72"
"166","11806","Humans like to cook on a fire","70","{""Humans like to cook on a fire"",""Humans like to look at fire"",""Animals are afraid of a big fire"",""Humans like the warmth of a medium fire"",""Animals can make a fire"",""Animals like to look at fire"",""Humans are afraid of a big fire"",""Animals like to cook on a fire"",""Humans can make a fire"",""Humans feel that a small or medium fire is pretty"",""Animals like the warmth of a medium fire"",""Animals feel that a small or medium fire is pretty""}","5cd726aab1fa62001a8de584","685db2f97826087f0608405e","690e189aac5648b86c3578de"
"167","4405","Animals like to look at fire","10","{""Animals are afraid of a big fire"",""Animals like to look at fire"",""Humans like to cook on a fire"",""Animals like to cook on a fire"",""Humans can make a fire"",""Humans are afraid of a big fire"",""Humans feel that a small or medium fire is pretty"",""Animals can make a fire"",""Animals feel that a small or medium fire is pretty"",""Humans like the warmth of a medium fire"",""Animals like the warmth of a medium fire"",""Humans like to look at fire""}","62682277645054f5802459b8","685db2f97826087f0608405e","690e1895bc85482d63d7fb3f"
"168","9138","Humans like the warmth of a medium fire","33","{""Humans like the warmth of a medium fire"",""Animals like the warmth of a medium fire"",""Humans like to cook on a fire"",""Animals are afraid of a big fire"",""Humans feel that a small or medium fire is pretty"",""Animals feel that a small or medium fire is pretty"",""Animals like to look at fire"",""Humans can make a fire"",""Animals can make a fire"",""Animals like to cook on a fire"",""Humans are afraid of a big fire"",""Humans like to look at fire""}","5f919274b5383b00096b0295","685db2f97826087f0608405e","690e18a1c7ec26b8f3ae0343"
"169","5732","Humans like to look at fire","69","{""Humans like to look at fire"",""Animals like the warmth of a medium fire"",""Animals feel that a small or medium fire is pretty"",""Humans like the warmth of a medium fire"",""Humans like to cook on a fire"",""Animals like to cook on a fire"",""Humans feel that a small or medium fire is pretty"",""Animals are afraid of a big fire"",""Animals can make a fire"",""Humans are afraid of a big fire"",""Humans can make a fire"",""Animals like to look at fire""}","6429ffe11a9806a9a95ad072","685db2f97826087f0608405e","690e18a022810bbb943733cf"
"170","3288","Humans like to cook on a fire","99","{""Animals are afraid of a big fire"",""Animals like to look at fire"",""Humans like to cook on a fire"",""Animals like to cook on a fire"",""Humans can make a fire"",""Humans are afraid of a big fire"",""Humans feel that a small or medium fire is pretty"",""Animals can make a fire"",""Animals feel that a small or medium fire is pretty"",""Humans like the warmth of a medium fire"",""Animals like the warmth of a medium fire"",""Humans like to look at fire""}","62682277645054f5802459b8","685db2f97826087f0608405e","690e1895bc85482d63d7fb3f"
"171","10449","Humans like the warmth of a medium fire","85","{""Humans like the warmth of a medium fire"",""Humans feel that a small or medium fire is pretty"",""Animals feel that a small or medium fire is pretty"",""Animals like to cook on a fire"",""Animals are afraid of a big fire"",""Animals like the warmth of a medium fire"",""Humans like to look at fire"",""Animals can make a fire"",""Humans like to cook on a fire"",""Humans are afraid of a big fire"",""Humans can make a fire"",""Animals like to look at fire""}","68c96774c5a755579634545f","685db2f97826087f0608405e","690e18a598be595cd094afe0"
"172","5540","Animals like the warmth of a medium fire","71","{""Humans like the warmth of a medium fire"",""Animals like the warmth of a medium fire"",""Humans like to cook on a fire"",""Animals are afraid of a big fire"",""Humans feel that a small or medium fire is pretty"",""Animals feel that a small or medium fire is pretty"",""Animals like to look at fire"",""Humans can make a fire"",""Animals can make a fire"",""Animals like to cook on a fire"",""Humans are afraid of a big fire"",""Humans like to look at fire""}","5f919274b5383b00096b0295","685db2f97826087f0608405e","690e18a1c7ec26b8f3ae0343"
"173","4353","Animals like the warmth of a medium fire","62","{""Humans like to look at fire"",""Animals like the warmth of a medium fire"",""Animals feel that a small or medium fire is pretty"",""Humans like the warmth of a medium fire"",""Humans like to cook on a fire"",""Animals like to cook on a fire"",""Humans feel that a small or medium fire is pretty"",""Animals are afraid of a big fire"",""Animals can make a fire"",""Humans are afraid of a big fire"",""Humans can make a fire"",""Animals like to look at fire""}","6429ffe11a9806a9a95ad072","685db2f97826087f0608405e","690e18a022810bbb943733cf"
"174","9645","Humans are afraid of a big fire","100","{""Animals like to cook on a fire"",""Humans are afraid of a big fire"",""Animals feel that a small or medium fire is pretty"",""Humans like to cook on a fire"",""Humans can make a fire"",""Animals like to look at fire"",""Animals can make a fire"",""Animals are afraid of a big fire"",""Animals like the warmth of a medium fire"",""Humans like to look at fire"",""Humans like the warmth of a medium fire"",""Humans feel that a small or medium fire is pretty""}","63ea4a7fa7d709c8e7887a93","685db2f97826087f0608405e","690e18a0746fce0498519559"
"175","6770","Humans like to look at fire","67","{""Humans like to cook on a fire"",""Humans like to look at fire"",""Animals are afraid of a big fire"",""Humans like the warmth of a medium fire"",""Animals can make a fire"",""Animals like to look at fire"",""Humans are afraid of a big fire"",""Animals like to cook on a fire"",""Humans can make a fire"",""Humans feel that a small or medium fire is pretty"",""Animals like the warmth of a medium fire"",""Animals feel that a small or medium fire is pretty""}","5cd726aab1fa62001a8de584","685db2f97826087f0608405e","690e189aac5648b86c3578de"
"176","9226","Humans feel that a small or medium fire is pretty","4","{""Animals are afraid of a big fire"",""Animals can make a fire"",""Animals like to look at fire"",""Humans like to cook on a fire"",""Humans feel that a small or medium fire is pretty"",""Animals feel that a small or medium fire is pretty"",""Humans like to look at fire"",""Animals like to cook on a fire"",""Humans are afraid of a big fire"",""Humans can make a fire"",""Humans like the warmth of a medium fire"",""Animals like the warmth of a medium fire""}","6279257a38f2de2668ac6309","685db2f97826087f0608405e","690e189a69621e61c835fa72"
"177","3658","Animals like to cook on a fire","0","{""Animals are afraid of a big fire"",""Animals like to look at fire"",""Humans like to cook on a fire"",""Animals like to cook on a fire"",""Humans can make a fire"",""Humans are afraid of a big fire"",""Humans feel that a small or medium fire is pretty"",""Animals can make a fire"",""Animals feel that a small or medium fire is pretty"",""Humans like the warmth of a medium fire"",""Animals like the warmth of a medium fire"",""Humans like to look at fire""}","62682277645054f5802459b8","685db2f97826087f0608405e","690e1895bc85482d63d7fb3f"
"178","17007","Animals like the warmth of a medium fire","40","{""Animals like the warmth of a medium fire"",""Humans can make a fire"",""Humans like the warmth of a medium fire"",""Humans are afraid of a big fire"",""Animals like to cook on a fire"",""Animals like to look at fire"",""Humans like to look at fire"",""Humans like to cook on a fire"",""Animals can make a fire"",""Animals are afraid of a big fire"",""Animals feel that a small or medium fire is pretty"",""Humans feel that a small or medium fire is pretty""}","5d59d45948766d0018949d58","685db2f97826087f0608405e","690e189f26d7ef7f58256be6"
