"id","duration","selected","order","prolificId","studyId","sessionId"
"3","3392","Air","{""Water"",""Air"",""Fire"",""Rocks""}","678d97abed191932719e540e","685d669a0fa68229c8cfeebf","685db408d4869c8bebc66ee3"
"4","7562","Fire","{""Water"",""Rocks"",""Air"",""Fire""}","66562875b665d8e2b1b6fc66","685d669a0fa68229c8cfeebf","685db4166a58b4b01a404dee"
"5","4921","Fire","{""Water"",""Rocks"",""Air"",""Fire""}","6785438ea7bda2a64a129770","685d669a0fa68229c8cfeebf","685db42069695c16c4547d27"
"6","4980","Air","{""Rocks"",""Fire"",""Water"",""Air""}","67018afb7f8bf0bc66daf520","685d669a0fa68229c8cfeebf","685db402c1c3a2eb8a4e586e"
"7","16805","Air","{""Air"",""Rocks"",""Fire"",""Water""}","608f2bae0ee0a74455533e4c","685d669a0fa68229c8cfeebf","685db4150bf09b69a1a26cbf"
"8","8751","Water","{""Water"",""Rocks"",""Fire"",""Air""}","678afca1eec3b6d5cfa4f32b","685d669a0fa68229c8cfeebf","685db427db1572fc4752d5e2"
"9","5978","Air","{""Air"",""Rocks"",""Fire"",""Water""}","66310bdf15d4ae07f1daf351","685d669a0fa68229c8cfeebf","685db43d3d19263c4d0e3c73"
"10","7738","Water","{""Rocks"",""Water"",""Air"",""Fire""}","60e7072f10f18b511153ca9c","685d669a0fa68229c8cfeebf","685db448e285a04a2b94aea1"
"11","7838","Fire","{""Air"",""Fire"",""Water"",""Rocks""}","6716d8b6db944ef175de02f9","685d669a0fa68229c8cfeebf","685db44fb2cb2a0b40fa2484"
"12","3804","Fire","{""Fire"",""Air"",""Water"",""Rocks""}","5f3a94e729c8456caba57036","685d669a0fa68229c8cfeebf","685db45b5d572ccbb42b0c98"
"13","10833","Fire","{""Fire"",""Water"",""Air"",""Rocks""}","67f078a4424ed89739827b18","685d669a0fa68229c8cfeebf","685db4555be57fef103080e1"
"14","14766","Water","{""Water"",""Rocks"",""Air"",""Fire""}","66293f7d355cb2780b2b2ab1","685d669a0fa68229c8cfeebf","685db43e9df6aadb00fd3b9c"
"15","4774","Fire","{""Rocks"",""Water"",""Air"",""Fire""}","6765e7d29cbc0ec185d7e96e","685d669a0fa68229c8cfeebf","685db45ff26a0fa6a087d492"
"16","6665","Air","{""Air"",""Water"",""Rocks"",""Fire""}","67104c7deff954cb22438402","685d669a0fa68229c8cfeebf","685db463def65114796d83a3"
"17","6979","Fire","{""Water"",""Fire"",""Air"",""Rocks""}","65df8a1a9fed254084fa7763","685d669a0fa68229c8cfeebf","685db46150bbb55022055822"
"18","10081","Air","{""Water"",""Air"",""Rocks"",""Fire""}","67f02740d233a50f479c4e20","685d669a0fa68229c8cfeebf","685db4612ee71a674be790eb"
"19","5413","Fire","{""Rocks"",""Fire"",""Water"",""Air""}","610678bb1bfc5138d4957250","685d669a0fa68229c8cfeebf","685db4645227ef0e83692e48"
"20","49659","Fire","{""Fire"",""Rocks"",""Air"",""Water""}","66b41d5d3c2a978a7aac2264","685d669a0fa68229c8cfeebf","685db42a7fd71ea5ee12189a"
"21","3466","Fire","{""Air"",""Rocks"",""Water"",""Fire""}","67195ce0322d3935df36e8be","685d669a0fa68229c8cfeebf","685db47645385ac98e4f405c"
"22","5633","Air","{""Fire"",""Rocks"",""Air"",""Water""}","6429ffe11a9806a9a95ad072","685d669a0fa68229c8cfeebf","685db475fdc1731a9cb4c87d"
"23","10555","Water","{""Water"",""Air"",""Fire"",""Rocks""}","55cfefc334e9060012e573c0","685d669a0fa68229c8cfeebf","685db46658066ccfa0bc1de4"
"24","23834","Rocks","{""Water"",""Rocks"",""Fire"",""Air""}","60fcc9bd0941136df8103299","685d669a0fa68229c8cfeebf","685db4673b8cb34b62c9e693"
"25","11383","Fire","{""Water"",""Rocks"",""Air"",""Fire""}","6654beb269b673df8e9c282f","685d669a0fa68229c8cfeebf","685db475325362debcef1016"
"26","11313","Air","{""Water"",""Rocks"",""Fire"",""Air""}","6632b8cfcd087b79f555f0b4","685d669a0fa68229c8cfeebf","685db4749df6aadb00fd3bb6"
"27","11617","Water","{""Fire"",""Air"",""Water"",""Rocks""}","59e8f20262637600014a7e75","685d669a0fa68229c8cfeebf","685db483e011d77d97b26cca"
"28","14547","Fire","{""Fire"",""Rocks"",""Air"",""Water""}","61074792728f0f9e791ad083","685d669a0fa68229c8cfeebf","685db4645b48ae770114cb1d"
"29","13428","Fire","{""Water"",""Fire"",""Rocks"",""Air""}","637e3bedd8c3601a81a65889","685d669a0fa68229c8cfeebf","685db48aae00b889b1a8ee9a"
"30","8153","Air","{""Water"",""Rocks"",""Fire"",""Air""}","66940332d70583ebe9a33c05","685d669a0fa68229c8cfeebf","685db4971c4d4cdd82141cd4"
"31","16938","Air","{""Rocks"",""Water"",""Fire"",""Air""}","6400ed09421b2727c2f7c553","685d669a0fa68229c8cfeebf","685db4187f9b4db08ede8b4d"
"32","45648","Air","{""Rocks"",""Air"",""Fire"",""Water""}","5cb5f1e080ba1c0001790399","685d669a0fa68229c8cfeebf","685db45b615aaf915d0a9542"
"33","10263","Fire","{""Air"",""Fire"",""Water"",""Rocks""}","6012d27152fa5e09eb6a29e0","685d669a0fa68229c8cfeebf","685db499458aa7851bd2177d"
"34","8811","Fire","{""Fire"",""Rocks"",""Air"",""Water""}","5c180a3ac59c17000167491e","685d669a0fa68229c8cfeebf","685db4a9d9324f45079f813f"
"35","8090","Water","{""Water"",""Fire"",""Rocks"",""Air""}","60b8fb32cf60b9905fb72f17","685d669a0fa68229c8cfeebf","685db4aa78c9960573691bcf"
"36","17453","Fire","{""Rocks"",""Fire"",""Water"",""Air""}","674f320a16eba7f4a31ed965","685d669a0fa68229c8cfeebf","685db493538d3c91773b82cb"
"37","8440","Fire","{""Fire"",""Water"",""Rocks"",""Air""}","5d55d43e25dd4c00174122dc","685d669a0fa68229c8cfeebf","685db493da3a858c5cbeaa30"
"38","21178","Fire","{""Water"",""Rocks"",""Fire"",""Air""}","67a929fca6f522114c6bdec7","685d669a0fa68229c8cfeebf","685db4a21db08b10380fe92f"
"39","6517","Air","{""Fire"",""Air"",""Water"",""Rocks""}","5ef52a87f04c781600ae4114","685d669a0fa68229c8cfeebf","685db4be399dba4689971006"
"40","17161","Rocks","{""Fire"",""Air"",""Water"",""Rocks""}","5e30dc949b1c9a0e5c6e3b4c","685d669a0fa68229c8cfeebf","685db4bd45a064c43bfdb6c6"
"41","5080","Water","{""Rocks"",""Fire"",""Air"",""Water""}","5ff4c408705a1f74b81bbb74","685d669a0fa68229c8cfeebf","685db4cfd89101cfe5911a8f"
"42","18414","Fire","{""Air"",""Fire"",""Water"",""Rocks""}","6581d59fc1a74c526abf0de5","685d669a0fa68229c8cfeebf","685db4af9ad482cdd56905f1"
"43","7976","Water","{""Fire"",""Rocks"",""Air"",""Water""}","671adc8df17a201583ff6034","685d669a0fa68229c8cfeebf","685db4d1c1c3a2eb8a4e58c3"
"44","6862","Rocks","{""Water"",""Fire"",""Air"",""Rocks""}","67505c42a18c872bab88ed42","685d669a0fa68229c8cfeebf","685db4d243ceee051c104ff3"
"45","62027","Air","{""Rocks"",""Water"",""Air"",""Fire""}","676da97afe68d3f5a09fca43","685d669a0fa68229c8cfeebf","685db449a9db4c8662bbf190"
